id,utc_created,utc_updated,country,country_code,indicator_code,indicator,value,year
98,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Niger,NER,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.714,2013
99,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Nigeria,NGA,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.839,2013
100,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Nicaragua,NIC,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.912,2013
101,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Netherlands,NLD,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.968,2013
102,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Norway,NOR,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.997,2013
103,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Nepal,NPL,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.912,2013
104,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","New Zealand",NZL,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.971,2013
105,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Pakistan,PAK,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.75,2013
106,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Panama,PAN,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.978,2013
107,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Peru,PER,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.957,2013
108,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Philippines,PHL,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.989,2013
109,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Poland,POL,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.01,2013
110,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Portugal,PRT,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.97,2013
111,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Paraguay,PRY,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.966,2013
112,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Qatar,QAT,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.979,2013
113,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Romania,ROU,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",0.973,2013
114,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Russian Federation",RUS,137906,"GDI: Female to male ratio of HDI, geometric (GDI)",1.038,2013
