Index,dataset_name,resource_name,resource_filename,resource_url,new_resource_url,scraperwiki_name,dir,file,status,update_status
63,daily-summaries-of-precipitation-indicators-for-denmark,precipitation_dnk.csv,precipitation_dnk.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/dnk.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-denmark,ds2/daily-summaries-of-precipitation-indicators-for-denmark/precipitation_dnk.csv,SKIPPED,
64,daily-summaries-of-precipitation-indicators-for-bulgaria,precipitation_bgr.csv,precipitation_bgr.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/bgr.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-bulgaria,ds2/daily-summaries-of-precipitation-indicators-for-bulgaria/precipitation_bgr.csv,SKIPPED,
65,daily-summaries-of-precipitation-indicators-for-belgium,precipitation_bel.csv,precipitation_bel.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/bel.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-belgium,ds2/daily-summaries-of-precipitation-indicators-for-belgium/precipitation_bel.csv,SKIPPED,
66,daily-summaries-of-precipitation-indicators-for-antarctica,precipitation_ata.csv,precipitation_ata.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/ata.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-antarctica,ds2/daily-summaries-of-precipitation-indicators-for-antarctica/precipitation_ata.csv,SKIPPED,
67,daily-summaries-of-precipitation-indicators-for-czech-republic,precipitation_cze.csv,precipitation_cze.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/cze.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-czech-republic,ds2/daily-summaries-of-precipitation-indicators-for-czech-republic/precipitation_cze.csv,SKIPPED,
68,daily-summaries-of-precipitation-indicators-for-falkland-islands--malvinas-,precipitation_flk.csv,precipitation_flk.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/flk.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-falkland-islands--malvinas-,ds2/daily-summaries-of-precipitation-indicators-for-falkland-islands--malvinas-/precipitation_flk.csv,SKIPPED,
69,daily-summaries-of-precipitation-indicators-for-bosnia-and-herzegovina,precipitation_bih.csv,precipitation_bih.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/bih.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-bosnia-and-herzegovina,ds2/daily-summaries-of-precipitation-indicators-for-bosnia-and-herzegovina/precipitation_bih.csv,SKIPPED,
70,daily-summaries-of-precipitation-indicators-for-french-southern-territories,precipitation_atf.csv,precipitation_atf.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/atf.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-french-southern-territories,ds2/daily-summaries-of-precipitation-indicators-for-french-southern-territories/precipitation_atf.csv,SKIPPED,
71,daily-summaries-of-precipitation-indicators-for-greece,precipitation_grc.csv,precipitation_grc.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/grc.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-greece,ds2/daily-summaries-of-precipitation-indicators-for-greece/precipitation_grc.csv,SKIPPED,
72,daily-summaries-of-precipitation-indicators-for-georgia,precipitation_geo.csv,precipitation_geo.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/geo.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-georgia,ds2/daily-summaries-of-precipitation-indicators-for-georgia/precipitation_geo.csv,SKIPPED,
73,daily-summaries-of-precipitation-indicators-for-cyprus,precipitation_cyp.csv,precipitation_cyp.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/cyp.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-cyprus,ds2/daily-summaries-of-precipitation-indicators-for-cyprus/precipitation_cyp.csv,SKIPPED,
74,ebola-cases-2014,ebola_data_db_format.xlsx,ebola_data_db_format.xlsx,https://ds-ec2.scraperwiki.com/g7nnqgn/ckm9nsfssakeuor/cgi-bin/xlsx/ebola_data_db_format,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/ebola-cases-2014/ebola_data_db_format.xlsx,DISABLED WHO Ebola SitRep Scraper,ds2/ebola-cases-2014,ds2/ebola-cases-2014/ebola_data_db_format.xlsx,Ok,UPLOADED
75,unhcr-information-portal-data,UNHCR-information-portal-data.csv,UNHCR-information-portal-data.csv,https://ds-ec2.scraperwiki.com/ye7nhjd/uq816xboyfzffx6/cgi-bin/csv/unhcr_real_time.csv,,UNHCR Real-time API,ds2/unhcr-information-portal-data,ds2/unhcr-information-portal-data/UNHCR-information-portal-data.csv,SKIPPED,
76,daily-summaries-of-precipitation-indicators-for-chad,precipitation_tcd.csv,precipitation_tcd.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/tcd.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-chad/precipitation_tcd.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-chad,ds2/daily-summaries-of-precipitation-indicators-for-chad/precipitation_tcd.csv,Ok,UPLOADED
77,daily-summaries-of-precipitation-indicators-for-el-salvador,precipitation_slv.csv,precipitation_slv.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/slv.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-el-salvador/precipitation_slv.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-el-salvador,ds2/daily-summaries-of-precipitation-indicators-for-el-salvador/precipitation_slv.csv,Ok,UPLOADED
78,daily-summaries-of-precipitation-indicators-for-myanmar,precipitation_mmr.csv,precipitation_mmr.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/mmr.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-myanmar/precipitation_mmr.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-myanmar,ds2/daily-summaries-of-precipitation-indicators-for-myanmar/precipitation_mmr.csv,Ok,UPLOADED
79,daily-summaries-of-precipitation-indicators-for-sri-lanka,precipitation_lka.csv,precipitation_lka.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/lka.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-sri-lanka/precipitation_lka.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-sri-lanka,ds2/daily-summaries-of-precipitation-indicators-for-sri-lanka/precipitation_lka.csv,Ok,UPLOADED
80,daily-summaries-of-precipitation-indicators-for-italy,precipitation_ita.csv,precipitation_ita.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/ita.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-italy/precipitation_ita.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-italy,ds2/daily-summaries-of-precipitation-indicators-for-italy/precipitation_ita.csv,Ok,UPLOADED
81,daily-summaries-of-precipitation-indicators-for-cambodia,precipitation_khm.csv,precipitation_khm.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/khm.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-cambodia/precipitation_khm.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-cambodia,ds2/daily-summaries-of-precipitation-indicators-for-cambodia/precipitation_khm.csv,Ok,UPLOADED
82,daily-summaries-of-precipitation-indicators-for-israel,precipitation_isr.csv,precipitation_isr.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/isr.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-israel/precipitation_isr.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-israel,ds2/daily-summaries-of-precipitation-indicators-for-israel/precipitation_isr.csv,Ok,UPLOADED
83,daily-summaries-of-precipitation-indicators-for-iraq,precipitation_irq.csv,precipitation_irq.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/irq.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-iraq/precipitation_irq.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-iraq,ds2/daily-summaries-of-precipitation-indicators-for-iraq/precipitation_irq.csv,Ok,UPLOADED
84,daily-summaries-of-precipitation-indicators-for-iran--islamic-republic-of,precipitation_irn.csv,precipitation_irn.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/irn.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-iran--islamic-republic-of/precipitation_irn.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-iran--islamic-republic-of,ds2/daily-summaries-of-precipitation-indicators-for-iran--islamic-republic-of/precipitation_irn.csv,Ok,UPLOADED
85,daily-summaries-of-precipitation-indicators-for-india,precipitation_ind.csv,precipitation_ind.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/ind.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-india/precipitation_ind.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-india,ds2/daily-summaries-of-precipitation-indicators-for-india/precipitation_ind.csv,Ok,UPLOADED
86,daily-summaries-of-precipitation-indicators-for-indonesia,precipitation_idn.csv,precipitation_idn.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/idn.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-indonesia/precipitation_idn.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-indonesia,ds2/daily-summaries-of-precipitation-indicators-for-indonesia/precipitation_idn.csv,Ok,UPLOADED
87,daily-summaries-of-precipitation-indicators-for-honduras,precipitation_hnd.csv,precipitation_hnd.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/hnd.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-honduras/precipitation_hnd.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-honduras,ds2/daily-summaries-of-precipitation-indicators-for-honduras/precipitation_hnd.csv,Ok,UPLOADED
88,daily-summaries-of-precipitation-indicators-for-equatorial-guinea,precipitation_gnq.csv,precipitation_gnq.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/gnq.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-equatorial-guinea/precipitation_gnq.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-equatorial-guinea,ds2/daily-summaries-of-precipitation-indicators-for-equatorial-guinea/precipitation_gnq.csv,Ok,UPLOADED
89,daily-summaries-of-precipitation-indicators-for-gambia,precipitation_gmb.csv,precipitation_gmb.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/gmb.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-gambia/precipitation_gmb.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-gambia,ds2/daily-summaries-of-precipitation-indicators-for-gambia/precipitation_gmb.csv,Ok,UPLOADED
90,daily-summaries-of-precipitation-indicators-for-guinea,precipitation_gin.csv,precipitation_gin.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/gin.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-guinea/precipitation_gin.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-guinea,ds2/daily-summaries-of-precipitation-indicators-for-guinea/precipitation_gin.csv,Ok,UPLOADED
91,daily-summaries-of-precipitation-indicators-for-ghana,precipitation_gha.csv,precipitation_gha.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/gha.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-ghana/precipitation_gha.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-ghana,ds2/daily-summaries-of-precipitation-indicators-for-ghana/precipitation_gha.csv,Ok,UPLOADED
92,daily-summaries-of-precipitation-indicators-for-gabon,precipitation_gab.csv,precipitation_gab.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/gab.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-gabon/precipitation_gab.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-gabon,ds2/daily-summaries-of-precipitation-indicators-for-gabon/precipitation_gab.csv,Ok,UPLOADED
93,daily-summaries-of-precipitation-indicators-for-micronesia--federated-states-of,precipitation_fsm.csv,precipitation_fsm.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/fsm.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-micronesia--federated-states-of/precipitation_fsm.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-micronesia--federated-states-of,ds2/daily-summaries-of-precipitation-indicators-for-micronesia--federated-states-of/precipitation_fsm.csv,Ok,UPLOADED
94,daily-summaries-of-precipitation-indicators-for-guyana,precipitation_guy.csv,precipitation_guy.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/guy.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-guyana/precipitation_guy.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-guyana,ds2/daily-summaries-of-precipitation-indicators-for-guyana/precipitation_guy.csv,Ok,UPLOADED
95,daily-summaries-of-precipitation-indicators-for-faroe-islands,precipitation_fro.csv,precipitation_fro.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/fro.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-faroe-islands/precipitation_fro.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-faroe-islands,ds2/daily-summaries-of-precipitation-indicators-for-faroe-islands/precipitation_fro.csv,Ok,UPLOADED
96,daily-summaries-of-precipitation-indicators-for-fiji,precipitation_fji.csv,precipitation_fji.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/fji.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-fiji/precipitation_fji.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-fiji,ds2/daily-summaries-of-precipitation-indicators-for-fiji/precipitation_fji.csv,Ok,UPLOADED
97,daily-summaries-of-precipitation-indicators-for-ethiopia,precipitation_eth.csv,precipitation_eth.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/eth.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-ethiopia/precipitation_eth.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-ethiopia,ds2/daily-summaries-of-precipitation-indicators-for-ethiopia/precipitation_eth.csv,Ok,UPLOADED
98,daily-summaries-of-precipitation-indicators-for-egypt,precipitation_egy.csv,precipitation_egy.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/egy.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-egypt/precipitation_egy.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-egypt,ds2/daily-summaries-of-precipitation-indicators-for-egypt/precipitation_egy.csv,Ok,UPLOADED
99,daily-summaries-of-precipitation-indicators-for-ecuador,precipitation_ecu.csv,precipitation_ecu.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/ecu.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-ecuador/precipitation_ecu.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-ecuador,ds2/daily-summaries-of-precipitation-indicators-for-ecuador/precipitation_ecu.csv,Ok,UPLOADED
100,daily-summaries-of-precipitation-indicators-for-algeria,precipitation_dza.csv,precipitation_dza.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/dza.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-algeria/precipitation_dza.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-algeria,ds2/daily-summaries-of-precipitation-indicators-for-algeria/precipitation_dza.csv,Ok,UPLOADED
101,daily-summaries-of-precipitation-indicators-for-cayman-islands,precipitation_cym.csv,precipitation_cym.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/cym.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-cayman-islands/precipitation_cym.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-cayman-islands,ds2/daily-summaries-of-precipitation-indicators-for-cayman-islands/precipitation_cym.csv,Ok,UPLOADED
102,daily-summaries-of-precipitation-indicators-for-cuba,precipitation_cub.csv,precipitation_cub.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/cub.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-cuba/precipitation_cub.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-cuba,ds2/daily-summaries-of-precipitation-indicators-for-cuba/precipitation_cub.csv,Ok,UPLOADED
103,daily-summaries-of-precipitation-indicators-for-costa-rica,precipitation_cri.csv,precipitation_cri.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/cri.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-costa-rica/precipitation_cri.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-costa-rica,ds2/daily-summaries-of-precipitation-indicators-for-costa-rica/precipitation_cri.csv,Ok,UPLOADED
104,daily-summaries-of-precipitation-indicators-for-cabo-verde,precipitation_cpv.csv,precipitation_cpv.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/cpv.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-cabo-verde/precipitation_cpv.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-cabo-verde,ds2/daily-summaries-of-precipitation-indicators-for-cabo-verde/precipitation_cpv.csv,Ok,UPLOADED
105,daily-summaries-of-precipitation-indicators-for-colombia,precipitation_col.csv,precipitation_col.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/col.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-colombia/precipitation_col.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-colombia,ds2/daily-summaries-of-precipitation-indicators-for-colombia/precipitation_col.csv,Ok,UPLOADED
106,daily-summaries-of-precipitation-indicators-for-cook-islands,precipitation_cok.csv,precipitation_cok.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/cok.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-cook-islands/precipitation_cok.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-cook-islands,ds2/daily-summaries-of-precipitation-indicators-for-cook-islands/precipitation_cok.csv,Ok,UPLOADED
107,daily-summaries-of-precipitation-indicators-for-congo,precipitation_cog.csv,precipitation_cog.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/cog.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-congo/precipitation_cog.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-congo,ds2/daily-summaries-of-precipitation-indicators-for-congo/precipitation_cog.csv,Ok,UPLOADED
108,daily-summaries-of-precipitation-indicators-for-congo--the-democratic-republic-of-the,precipitation_cod.csv,precipitation_cod.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/cod.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-congo--the-democratic-republic-of-the/precipitation_cod.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-congo--the-democratic-republic-of-the,ds2/daily-summaries-of-precipitation-indicators-for-congo--the-democratic-republic-of-the/precipitation_cod.csv,Ok,UPLOADED
109,daily-summaries-of-precipitation-indicators-for-cameroon,precipitation_cmr.csv,precipitation_cmr.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/cmr.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-cameroon/precipitation_cmr.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-cameroon,ds2/daily-summaries-of-precipitation-indicators-for-cameroon/precipitation_cmr.csv,Ok,UPLOADED
110,daily-summaries-of-precipitation-indicators-for-cote-divoire,precipitation_civ.csv,precipitation_civ.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/civ.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-cote-divoire/precipitation_civ.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-cote-divoire,ds2/daily-summaries-of-precipitation-indicators-for-cote-divoire/precipitation_civ.csv,Ok,UPLOADED
111,daily-summaries-of-precipitation-indicators-for-china,precipitation_chn.csv,precipitation_chn.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/chn.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-china/precipitation_chn.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-china,ds2/daily-summaries-of-precipitation-indicators-for-china/precipitation_chn.csv,Ok,UPLOADED
112,daily-summaries-of-precipitation-indicators-for-chile,precipitation_chl.csv,precipitation_chl.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/chl.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-chile/precipitation_chl.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-chile,ds2/daily-summaries-of-precipitation-indicators-for-chile/precipitation_chl.csv,Ok,UPLOADED
113,daily-summaries-of-precipitation-indicators-for-canada,precipitation_can.csv,precipitation_can.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/can.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-canada/precipitation_can.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-canada,ds2/daily-summaries-of-precipitation-indicators-for-canada/precipitation_can.csv,Ok,UPLOADED
114,daily-summaries-of-precipitation-indicators-for-central-african-republic,precipitation_caf.csv,precipitation_caf.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/caf.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-central-african-republic/precipitation_caf.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-central-african-republic,ds2/daily-summaries-of-precipitation-indicators-for-central-african-republic/precipitation_caf.csv,Ok,UPLOADED
115,daily-summaries-of-precipitation-indicators-for-botswana,precipitation_bwa.csv,precipitation_bwa.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/bwa.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-botswana/precipitation_bwa.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-botswana,ds2/daily-summaries-of-precipitation-indicators-for-botswana/precipitation_bwa.csv,Ok,UPLOADED
116,daily-summaries-of-precipitation-indicators-for-brunei-darussalam,precipitation_brn.csv,precipitation_brn.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/brn.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-brunei-darussalam/precipitation_brn.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-brunei-darussalam,ds2/daily-summaries-of-precipitation-indicators-for-brunei-darussalam/precipitation_brn.csv,Ok,UPLOADED
117,daily-summaries-of-precipitation-indicators-for-brazil,precipitation_bra.csv,precipitation_bra.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/bra.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/daily-summaries-of-precipitation-indicators-for-brazil/precipitation_bra.csv,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-brazil,ds2/daily-summaries-of-precipitation-indicators-for-brazil/precipitation_bra.csv,Ok,UPLOADED
