Index,dataset_name,resource_name,resource_filename,resource_url,new_resource_url,scraperwiki_name,dir,file,status,update_status
51,unhcr-refugee-monthly-arrivals-by-country,monthly_arrivals_by_country.csv,monthly_arrivals_by_country.csv,https://ds-ec2.scraperwiki.com/dhrmllc/epujvb7enul3h8x/cgi-bin/csv/monthly_arrivals_by_country.csv,https://ocha-dap.github.io/scraperwiki-snapshot/datasets/unhcr-refugee-monthly-arrivals-by-country/monthly_arrivals_by_country.csv,UNHCR Mediterranean Collector,ds2/unhcr-refugee-monthly-arrivals-by-country,ds2/unhcr-refugee-monthly-arrivals-by-country/monthly_arrivals_by_country.csv,Ok,UPLOADED
52,daily-summaries-of-precipitation-indicators-for-iceland,precipitation_isl.csv,precipitation_isl.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/isl.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-iceland,ds2/daily-summaries-of-precipitation-indicators-for-iceland/precipitation_isl.csv,SKIPPED,
53,daily-summaries-of-precipitation-indicators-for-croatia,precipitation_hrv.csv,precipitation_hrv.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/hrv.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-croatia,ds2/daily-summaries-of-precipitation-indicators-for-croatia/precipitation_hrv.csv,SKIPPED,
54,daily-summaries-of-precipitation-indicators-for-estonia,precipitation_est.csv,precipitation_est.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/est.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-estonia,ds2/daily-summaries-of-precipitation-indicators-for-estonia/precipitation_est.csv,SKIPPED,
55,daily-summaries-of-precipitation-indicators-for-germany,precipitation_deu.csv,precipitation_deu.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/deu.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-germany,ds2/daily-summaries-of-precipitation-indicators-for-germany/precipitation_deu.csv,SKIPPED,
56,daily-summaries-of-precipitation-indicators-for-austria,precipitation_aut.csv,precipitation_aut.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/aut.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-austria,ds2/daily-summaries-of-precipitation-indicators-for-austria/precipitation_aut.csv,SKIPPED,
57,daily-summaries-of-precipitation-indicators-for-ireland,precipitation_irl.csv,precipitation_irl.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/irl.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-ireland,ds2/daily-summaries-of-precipitation-indicators-for-ireland/precipitation_irl.csv,SKIPPED,
58,daily-summaries-of-precipitation-indicators-for-hungary,precipitation_hun.csv,precipitation_hun.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/hun.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-hungary,ds2/daily-summaries-of-precipitation-indicators-for-hungary/precipitation_hun.csv,SKIPPED,
59,daily-summaries-of-precipitation-indicators-for-greenland,precipitation_grl.csv,precipitation_grl.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/grl.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-greenland,ds2/daily-summaries-of-precipitation-indicators-for-greenland/precipitation_grl.csv,SKIPPED,
60,daily-summaries-of-precipitation-indicators-for-gibraltar,precipitation_gib.csv,precipitation_gib.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/gib.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-gibraltar,ds2/daily-summaries-of-precipitation-indicators-for-gibraltar/precipitation_gib.csv,SKIPPED,
61,daily-summaries-of-precipitation-indicators-for-france,precipitation_fra.csv,precipitation_fra.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/fra.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-france,ds2/daily-summaries-of-precipitation-indicators-for-france/precipitation_fra.csv,SKIPPED,
62,daily-summaries-of-precipitation-indicators-for-finland,precipitation_fin.csv,precipitation_fin.csv,https://ds-ec2.scraperwiki.com/fhsehwp/vdocua8hjwptucu/cgi-bin/csv/fin.csv,,NCDC / NOAA Precipitation Collector,ds2/daily-summaries-of-precipitation-indicators-for-finland,ds2/daily-summaries-of-precipitation-indicators-for-finland/precipitation_fin.csv,SKIPPED,
